Airline ID,Departures Performed,Distance, Available Seats, Transported Passengers,Carrier Name,Year,Month ,Day,From - To City,Date,Weekend / Weekday
20341,2,387,0,0,Alaska Central Express,2012,9,14,"Anchorage, AK - Togiak, AK",14-09-2012,Weekday
20341,2,261,0,0,Alaska Central Express,2012,9,15,"Unalaska, AK - Sandpoint, AK",15-09-2012,Weekend
20330,2,145,0,0,Arctic Transportation,2013,1,26,"Scammon Bay, AK - Bethel, AK",26-01-2013,Weekend
20330,2,118,0,0,Arctic Transportation,2013,2,26,"Stebbins, AK - Nome, AK",26-02-2013,Weekday
20330,2,154,0,0,Arctic Transportation,2013,1,20,"Mekoryuk, AK - Bethel, AK",20-01-2013,Weekend
20330,8,80,0,0,Arctic Transportation,2013,3,28,"Kwigillingok, AK - Bethel, AK",28-03-2013,Weekday
20330,2,13,0,0,Arctic Transportation,2013,3,17,"Bethel, AK - Kwethluk, AK",17-03-2013,Weekend
20330,2,118,0,0,Arctic Transportation,2013,1,5,"Kotlik, AK - Nome, AK",05-01-2013,Weekend
20330,4,54,0,0,Arctic Transportation,2013,2,19,"Mountain Village, AK - Emmonak, AK",19-02-2013,Weekday
20341,2,277,0,0,Alaska Central Express,2013,1,10,"Anchorage, AK - Donlin Creek Mine, AK",10-01-2013,Weekday
20330,6,162,0,0,Arctic Transportation,2013,1,9,"Savoonga, AK - Nome, AK",09-01-2013,Weekday
20330,3,84,0,0,Arctic Transportation,2013,6,13,"Kotzebue, AK - Lik, AK",13-06-2013,Weekday
20330,2,183,0,0,Arctic Transportation,2013,3,3,"Kotzebue, AK - Nome, AK",03-03-2013,Weekend
20108,3,391,0,0,Northern Air Cargo Inc.,2013,6,5,"Bethel, AK - Kodiak, AK",05-06-2013,Weekday
20330,4,75,0,0,Arctic Transportation,2013,3,16,"Buckland, AK - Kotzebue, AK",16-03-2013,Weekend
20330,2,130,0,0,Arctic Transportation,2013,6,20,"Koyuk, AK - Nome, AK",20-06-2013,Weekday
20330,3,6,0,0,Arctic Transportation,2013,6,13,"Bethel, AK - Napaskiak, AK",13-06-2013,Weekday
20330,4,122,0,0,Arctic Transportation,2013,1,5,"Shishmaref, AK - Nome, AK",05-01-2013,Weekend
20330,8,8,0,0,Arctic Transportation,2013,4,15,"Alakanuk, AK - Emmonak, AK",15-04-2013,Weekday
20330,14,8,0,0,Arctic Transportation,2013,5,11,"Alakanuk, AK - Emmonak, AK",11-05-2013,Weekend
20340,3,41,0,0,"SeaPort Airlines, Inc. d/b/a Wings of Alaska",2013,5,23,"Juneau, AK - Gustavus, AK",23-05-2013,Weekday
20330,3,110,0,0,Arctic Transportation,2013,2,18,"Mountain Village, AK - Bethel, AK",18-02-2013,Weekday
20330,10,67,0,0,Arctic Transportation,2013,4,14,"Kongiganak, AK - Bethel, AK",14-04-2013,Weekend
20333,5,290,0,0,Wright Air Service,2013,1,27,"Koyukuk, AK - Fairbanks, AK",27-01-2013,Weekend
20341,4,277,0,0,Alaska Central Express,2013,4,9,"Donlin Creek Mine, AK - Anchorage, AK",09-04-2013,Weekday
20408,2,278,0,0,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,2013,1,22,"Anchorage, AK - New Stuyahok, AK",22-01-2013,Weekday
20330,2,68,0,0,Arctic Transportation,2013,2,3,"Kotlik, AK - St. Mary's, AK",03-02-2013,Weekend
20330,2,145,0,0,Arctic Transportation,2013,6,12,"Scammon Bay, AK - Bethel, AK",12-06-2013,Weekday
20341,8,172,0,0,Alaska Central Express,2013,6,12,"Nixon Fork Mine, AK - Anchorage, AK",12-06-2013,Weekday
